_id,rating,description,user,product,isFlagged,flaggedReason,isVerifiedPurchase,createdAt,updatedAt
f48639b7b0231af303d01906,5,Absolutely love it! Exceeded all my expectations. Worth every taka.,7135bd03c80d5575642140a5,00c82f6f92d82c883fb70eb5,false,,true,2026-05-10T12:00:00.000Z,2026-08-15T16:45:41.169Z
476435035af0d94f4903c356,5,Absolutely love it! Exceeded all my expectations. Worth every taka.,4efed9f5abd7a4ab7aa1a264,f0735df9bb34a5c9d7163369,false,,true,2026-06-10T12:00:00.000Z,2026-08-15T16:45:41.169Z
41927451b739890fe62ef139,5,Flawless experience from order to delivery. Highly recommended.,1529cc923661c68d080d34fe,f0735df9bb34a5c9d7163369,false,,true,2026-06-11T12:00:00.000Z,2026-08-15T16:45:41.169Z
a9abe47eebae08351783148d,5,Best purchase I've made this year. The performance is outstanding.,bafc2d80accb2a0ed5960838,f0735df9bb34a5c9d7163369,false,,true,2026-06-12T12:00:00.000Z,2026-08-15T16:45:41.169Z
bdc3a8eb6f22cf51dd94a0a1,5,Perfect in every way. Build quality is top notch.,acdeb55be437061fdc9bb97a,f0735df9bb34a5c9d7163369,false,,true,2026-06-13T12:00:00.000Z,2026-08-15T16:45:41.169Z
5cd57db5513ce0ee1081c4ba,5,Absolutely love it! Exceeded all my expectations. Worth every taka.,1529cc923661c68d080d34fe,c77a6cf5138fce720d171125,false,,true,2026-07-10T12:00:00.000Z,2026-08-15T16:45:41.169Z
4903cb81ffb6a3b7cd23db00,5,Flawless experience from order to delivery. Highly recommended.,bafc2d80accb2a0ed5960838,c77a6cf5138fce720d171125,false,,true,2026-07-11T12:00:00.000Z,2026-08-15T16:45:41.169Z
4f446805c3cdcb5a5b2e4075,5,Best purchase I've made this year. The performance is outstanding.,acdeb55be437061fdc9bb97a,c77a6cf5138fce720d171125,false,,true,2026-07-12T12:00:00.000Z,2026-08-15T16:45:41.169Z
bb535f4e2f5f4e7ba7ab8df1,4,Really good device for the price. Happy with the purchase.,197f592dd325693b20ef2617,c77a6cf5138fce720d171125,false,,true,2026-07-13T12:00:00.000Z,2026-08-15T16:45:41.169Z
8b9901d287f24b82ad9d99ac,4,"Nice product, matches the description. Delivery was quick too.",f649169356dd807378f293bf,c77a6cf5138fce720d171125,false,,true,2026-07-14T12:00:00.000Z,2026-08-15T16:45:41.169Z
