_id,rating,description,user,product,isFlagged,flaggedReason,isVerifiedPurchase,createdAt,updatedAt
9ec7b23701fcd9a9907883e8,5,Absolutely love it! Exceeded all my expectations. Worth every taka.,664d034dd93c5fc75bb009de,2ffb7366da2d471d7bb28db8,false,,true,2026-05-10T12:00:00.000Z,2026-08-15T16:45:41.216Z
c4a1c76311f4dc67011d773c,5,Absolutely love it! Exceeded all my expectations. Worth every taka.,94c8ec5ed6a9896d106598ca,66fc100fe77aa22f6efb020a,false,,true,2026-06-10T12:00:00.000Z,2026-08-15T16:45:41.216Z
844d893a8662de76f8c24366,5,Flawless experience from order to delivery. Highly recommended.,f9f01cbc530cc4f0871971ec,66fc100fe77aa22f6efb020a,false,,true,2026-06-11T12:00:00.000Z,2026-08-15T16:45:41.216Z
52537744a0aa3a97ce6891e3,5,Best purchase I've made this year. The performance is outstanding.,9e8459c6be5709647e5ec2c0,66fc100fe77aa22f6efb020a,false,,true,2026-06-12T12:00:00.000Z,2026-08-15T16:45:41.216Z
f35b1417954db45eb7ecf7af,5,Perfect in every way. Build quality is top notch.,f631dc81ee3c6f3561843f22,66fc100fe77aa22f6efb020a,false,,true,2026-06-13T12:00:00.000Z,2026-08-15T16:45:41.216Z
d6914fd6f317e5286a1f22da,5,Absolutely love it! Exceeded all my expectations. Worth every taka.,f9f01cbc530cc4f0871971ec,c1ae75de7f24aa9dd86a388f,false,,true,2026-07-10T12:00:00.000Z,2026-08-15T16:45:41.216Z
acb370db06ba8c4e48a871eb,5,Flawless experience from order to delivery. Highly recommended.,9e8459c6be5709647e5ec2c0,c1ae75de7f24aa9dd86a388f,false,,true,2026-07-11T12:00:00.000Z,2026-08-15T16:45:41.216Z
3af52c630ea92e655217037a,5,Best purchase I've made this year. The performance is outstanding.,f631dc81ee3c6f3561843f22,c1ae75de7f24aa9dd86a388f,false,,true,2026-07-12T12:00:00.000Z,2026-08-15T16:45:41.216Z
4dc185cae9579fe98b5adb64,4,Really good device for the price. Happy with the purchase.,e967018b09864be41f682f14,c1ae75de7f24aa9dd86a388f,false,,true,2026-07-13T12:00:00.000Z,2026-08-15T16:45:41.216Z
98722e7f169e90c693a4e012,4,"Nice product, matches the description. Delivery was quick too.",55f9b06441cffdfeb028548e,c1ae75de7f24aa9dd86a388f,false,,true,2026-07-14T12:00:00.000Z,2026-08-15T16:45:41.216Z
b11c0b118e099c0df22d3f13,4,Great product overall. A couple of minor things but very good value.,4ed63b9921de4d81d9862567,c1ae75de7f24aa9dd86a388f,false,,true,2026-07-15T12:00:00.000Z,2026-08-15T16:45:41.216Z
cc43c88d15bf2eb36f488944,3,It's okay. Decent for the price but nothing exceptional.,664d034dd93c5fc75bb009de,c1ae75de7f24aa9dd86a388f,false,,false,2026-07-16T12:00:00.000Z,2026-08-15T16:45:41.216Z
a00e145599e714ab743b0e62,5,Absolutely love it! Exceeded all my expectations. Worth every taka.,9e8459c6be5709647e5ec2c0,16c48734f368f1e73391125e,false,,true,2026-05-10T12:00:00.000Z,2026-08-15T16:45:41.216Z
6980a043ec711dded7471a83,5,Flawless experience from order to delivery. Highly recommended.,f631dc81ee3c6f3561843f22,16c48734f368f1e73391125e,false,,true,2026-05-11T12:00:00.000Z,2026-08-15T16:45:41.216Z
b536ab33953febc0d3049fa6,5,Absolutely love it! Exceeded all my expectations. Worth every taka.,f631dc81ee3c6f3561843f22,7fb8737a3b0b1828a23997ba,false,,true,2026-06-10T12:00:00.000Z,2026-08-15T16:45:41.216Z
673b79d7ef63f471c841845d,4,"Very good quality, works exactly as expected. Would buy again.",e967018b09864be41f682f14,7fb8737a3b0b1828a23997ba,false,,true,2026-06-11T12:00:00.000Z,2026-08-15T16:45:41.216Z
4a6519be353f94cc0067b5a2,4,Solid performance and great battery life. Recommended.,55f9b06441cffdfeb028548e,7fb8737a3b0b1828a23997ba,false,,true,2026-06-12T12:00:00.000Z,2026-08-15T16:45:41.216Z
b2b94e7be6a520348b446a01,4,Really good device for the price. Happy with the purchase.,4ed63b9921de4d81d9862567,7fb8737a3b0b1828a23997ba,false,,true,2026-06-13T12:00:00.000Z,2026-08-15T16:45:41.216Z
